tweet_id,tweet_user_id,tweet_created_at_year,tweet_created_at_month,tweet_created_at_day,tweet_created_at_hour,tweet_hashtag_count,tweet_url_count,tweet_mention_count,tweet_has_attachment,tweet_language_id,virality,is_viral,topic_count,tweets_attachment_class
34698,10,2015,12,5,3,2.0,1.0,0.0,False,0,3,0,8,none
24644,4,2020,6,19,0,0.0,1.0,0.0,False,0,3,0,12,none
36321,54,2019,6,2,15,2.0,3.0,0.0,True,0,1,0,10,image
2629,42,2020,9,6,17,0.0,1.0,1.0,True,0,2,0,11,image
28169,32,2020,11,4,17,2.0,1.0,0.0,True,0,2,0,11,image
38711,34,2020,8,22,20,3.0,2.0,0.0,True,0,1,0,9,image
29010,43,2020,8,11,13,5.0,1.0,0.0,False,0,1,0,2,none
1058,16,2019,7,10,18,1.0,1.0,1.0,True,0,2,0,13,image
38352,34,2020,11,30,8,1.0,2.0,2.0,True,0,1,0,12,image
2442,37,2016,3,15,15,0.0,2.0,0.0,True,0,2,0,2,image
27773,6,2019,9,17,8,2.0,2.0,6.0,True,0,1,0,10,image
39753,39,2019,9,19,18,2.0,2.0,0.0,True,0,1,0,9,image
13604,3,2019,9,24,13,3.0,1.0,1.0,True,0,2,0,9,image
16195,22,2021,1,11,17,0.0,1.0,0.0,True,0,1,0,10,image
25052,4,2019,1,21,18,0.0,1.0,0.0,True,0,3,0,10,image
34958,11,2020,7,12,15,4.0,5.0,1.0,True,0,1,0,12,image
22986,45,2020,9,16,15,3.0,1.0,3.0,True,0,2,0,14,image
20569,31,2020,6,23,13,1.0,1.0,1.0,True,0,2,0,9,image
31276,23,2019,6,22,11,1.0,1.0,0.0,False,0,3,0,9,none
41816,0,2020,8,27,0,0.0,4.0,0.0,True,0,1,0,9,image
5396,1,2019,1,8,14,1.0,2.0,0.0,True,0,1,0,9,image
10315,49,2018,7,11,15,2.0,1.0,1.0,True,0,2,0,12,image
37039,33,2020,2,21,14,3.0,3.0,1.0,True,0,5,1,12,image
3911,28,2017,2,27,21,1.0,0.0,0.0,True,0,3,0,2,video
4684,19,2020,6,15,1,2.0,2.0,0.0,True,0,2,0,9,image
41622,0,2020,11,16,15,0.0,2.0,0.0,True,0,1,0,9,image
19715,48,2020,2,25,12,1.0,0.0,0.0,False,0,4,1,9,none
17285,27,2017,10,18,21,1.0,1.0,0.0,True,0,2,0,2,image
9441,5,2018,5,19,11,1.0,2.0,1.0,True,0,1,0,2,image
27472,6,2020,3,14,19,3.0,2.0,2.0,True,0,1,0,10,image
40008,47,2020,6,22,21,0.0,1.0,0.0,False,0,2,0,9,none
22851,45,2021,1,16,21,1.0,4.0,1.0,True,0,1,0,11,image
36318,54,2019,6,2,23,3.0,3.0,0.0,True,0,2,0,10,image
29778,38,2020,12,26,20,2.0,5.0,0.0,True,0,3,0,10,image
17612,27,2016,4,7,16,2.0,1.0,0.0,True,0,2,0,2,image
19845,48,2019,10,21,18,1.0,0.0,1.0,False,0,1,0,9,none
26302,46,2018,10,13,17,0.0,1.0,0.0,True,0,3,0,10,image
28137,32,2020,11,16,13,3.0,2.0,0.0,True,0,3,0,11,image
33769,18,2020,3,27,15,1.0,1.0,1.0,False,0,2,0,9,none
12670,17,2019,9,10,15,1.0,0.0,2.0,False,0,1,0,9,none
10566,26,2020,12,18,19,2.0,1.0,1.0,False,0,1,0,9,none
31064,23,2020,1,25,15,2.0,1.0,2.0,False,0,1,0,9,none
15877,40,2018,6,1,14,0.0,1.0,0.0,True,0,3,0,10,image
24210,50,2018,9,25,15,0.0,1.0,0.0,True,0,5,1,9,image
38545,34,2020,10,4,17,3.0,2.0,0.0,True,0,1,0,12,image
23452,45,2019,8,23,16,1.0,1.0,0.0,False,0,1,0,9,none
5289,1,2019,9,21,14,2.0,2.0,1.0,True,0,2,0,9,image
820,16,2021,1,2,12,2.0,1.0,0.0,True,0,1,0,12,image
17773,27,2015,10,4,20,0.0,2.0,0.0,True,0,1,0,2,image
19692,48,2020,4,5,20,0.0,0.0,0.0,False,0,2,0,12,none
42138,0,2019,11,28,0,0.0,2.0,0.0,True,0,1,0,9,image
39042,39,2020,11,22,19,2.0,2.0,0.0,True,0,1,0,9,image
5508,1,2018,9,17,1,0.0,0.0,1.0,False,0,1,0,9,none
3753,28,2017,11,27,20,0.0,2.0,0.0,False,0,4,1,9,none
12015,52,2017,8,30,1,1.0,1.0,0.0,True,0,1,0,2,image
24802,4,2019,12,14,19,0.0,1.0,0.0,True,0,5,1,10,image
32334,15,2020,11,10,16,0.0,0.0,0.0,False,0,1,0,11,none
10408,26,2021,1,9,18,1.0,2.0,2.0,True,0,1,0,9,image
975,16,2020,2,19,10,2.0,1.0,1.0,True,0,1,0,14,image
34349,10,2017,9,11,14,2.0,1.0,0.0,True,0,3,0,10,image
35178,11,2019,12,12,1,4.0,1.0,1.0,False,0,1,0,12,none
18250,2,2020,11,27,5,2.0,1.0,2.0,True,0,1,0,12,image
11052,26,2020,9,1,15,1.0,1.0,1.0,True,0,1,0,9,image
16459,22,2020,5,5,4,0.0,1.0,1.0,False,0,1,0,12,none
9438,5,2018,5,21,12,0.0,2.0,1.0,True,0,1,0,9,image
36624,33,2020,10,13,20,2.0,1.0,0.0,True,0,3,0,10,image
41299,12,2018,12,10,13,0.0,0.0,0.0,True,0,2,0,9,video
13369,3,2020,2,14,14,3.0,1.0,1.0,True,0,1,0,9,image
41256,12,2019,1,25,16,0.0,0.0,1.0,False,0,3,0,11,none
38824,34,2020,7,25,13,0.0,2.0,0.0,True,0,1,0,9,image
29403,43,2019,8,18,17,0.0,1.0,0.0,True,0,1,0,2,image
34296,10,2018,4,5,22,1.0,1.0,1.0,False,3,2,0,14,none
30,8,2020,12,12,16,2.0,1.0,1.0,False,0,1,0,9,none
41760,0,2020,9,7,20,0.0,0.0,0.0,False,0,2,0,9,none
38886,34,2020,7,7,17,1.0,2.0,0.0,True,0,1,0,9,image
8405,30,2020,5,2,18,2.0,1.0,1.0,True,0,3,0,9,image
34692,10,2015,12,18,19,3.0,1.0,0.0,False,0,3,0,2,none
661,8,2019,1,15,1,0.0,0.0,1.0,False,0,1,0,9,none
5041,1,2020,9,12,20,2.0,1.0,2.0,False,0,2,0,11,none
28791,32,2019,6,9,9,1.0,1.0,0.0,True,0,3,0,11,image
30646,23,2020,11,10,16,2.0,2.0,1.0,True,0,1,0,12,image
34403,10,2017,2,7,16,0.0,1.0,0.0,True,0,3,0,9,image
10213,49,2018,9,14,15,0.0,1.0,0.0,True,0,2,0,10,image
30480,38,2020,4,28,9,1.0,1.0,0.0,True,0,3,0,10,image
32035,53,2019,11,13,19,1.0,1.0,0.0,True,0,2,0,12,image
33752,18,2020,4,12,5,2.0,2.0,0.0,True,0,1,0,9,image
19834,48,2019,11,8,16,0.0,0.0,0.0,False,0,1,0,9,none
40251,47,2019,8,8,23,2.0,1.0,2.0,True,0,3,0,13,image
40903,12,2020,2,2,15,0.0,0.0,0.0,False,0,2,0,10,none
36019,54,2019,12,16,0,0.0,3.0,1.0,True,0,2,0,10,image
23134,45,2020,5,2,16,1.0,2.0,0.0,True,0,1,0,9,image
40728,12,2020,9,20,18,0.0,0.0,1.0,False,0,2,0,9,none
36031,54,2019,12,7,22,1.0,4.0,0.0,True,0,1,0,10,image
33082,15,2019,10,15,19,1.0,0.0,0.0,False,0,1,0,11,none
37588,14,2016,12,17,0,0.0,1.0,0.0,True,0,1,0,9,image
973,16,2020,2,25,12,1.0,1.0,1.0,True,0,2,0,14,image
36762,33,2020,7,31,11,2.0,4.0,0.0,True,0,3,0,9,image
22332,35,2016,12,9,18,0.0,1.0,1.0,True,0,3,0,7,image
17556,27,2016,5,21,14,2.0,0.0,2.0,False,0,1,0,2,none
27928,6,2019,7,9,16,1.0,2.0,0.0,True,0,1,0,2,image
31472,53,2020,12,3,17,1.0,0.0,0.0,False,0,1,0,9,none
20548,31,2020,7,11,0,1.0,2.0,0.0,True,0,2,0,9,image
26468,41,2019,10,8,21,1.0,2.0,0.0,True,0,1,0,7,image
20342,31,2020,12,14,18,3.0,3.0,0.0,True,0,3,0,9,image
22605,35,2015,9,20,14,0.0,1.0,0.0,False,0,5,1,2,none
19389,44,2018,6,16,16,1.0,1.0,0.0,False,0,1,0,9,none
947,16,2020,4,23,10,2.0,1.0,0.0,True,0,1,0,14,image
18591,2,2020,11,2,15,0.0,0.0,2.0,False,0,1,0,11,none
19239,44,2018,9,28,18,0.0,2.0,0.0,True,0,1,0,10,image
12432,17,2019,11,26,14,1.0,0.0,1.0,False,0,1,0,9,none
19750,48,2020,1,25,15,0.0,1.0,0.0,False,0,1,0,9,none
34955,11,2020,7,13,12,1.0,0.0,1.0,False,0,3,0,9,none
28797,32,2019,6,4,16,1.0,2.0,0.0,True,0,3,0,11,image
29771,38,2020,12,28,0,6.0,3.0,0.0,True,0,3,0,12,image
25922,46,2019,11,14,15,0.0,0.0,0.0,False,0,5,1,10,none
23501,45,2019,8,4,17,1.0,2.0,4.0,True,0,1,0,11,image
42043,0,2020,1,2,22,0.0,2.0,0.0,True,0,1,0,10,image
28166,32,2020,11,13,11,2.0,1.0,0.0,True,0,2,0,10,image
35435,11,2019,7,15,19,1.0,2.0,1.0,True,0,1,0,2,image
14664,20,2018,7,2,19,0.0,1.0,1.0,True,0,1,0,9,image
36376,54,2019,4,12,14,4.0,3.0,1.0,True,0,2,0,11,image
22003,24,2018,12,23,18,0.0,1.0,0.0,False,0,1,0,10,none
22286,35,2017,3,27,14,0.0,1.0,3.0,False,0,2,0,9,none
19304,44,2018,8,17,19,0.0,4.0,0.0,True,0,1,0,9,image
17661,27,2016,2,13,19,2.0,1.0,0.0,True,0,3,0,2,image
26180,46,2019,4,21,17,0.0,0.0,0.0,False,0,2,0,10,none
20686,31,2020,4,20,12,3.0,3.0,0.0,True,0,3,0,9,image
33826,18,2020,2,29,14,2.0,2.0,0.0,True,0,1,0,9,image
28011,6,2019,5,7,23,2.0,1.0,0.0,False,0,1,0,8,none
35668,54,2020,11,30,16,1.0,2.0,0.0,True,0,1,0,9,image
16351,22,2020,9,2,8,0.0,1.0,0.0,True,0,1,0,10,image
17493,27,2016,5,30,15,0.0,0.0,3.0,False,0,2,0,2,none
5890,13,2020,12,8,15,1.0,2.0,0.0,True,0,1,0,9,image
2460,42,2021,1,18,18,2.0,2.0,1.0,True,0,2,0,12,image
19524,48,2020,12,13,18,2.0,0.0,1.0,False,0,2,0,12,none
23019,45,2020,8,16,17,1.0,2.0,2.0,True,0,2,0,10,image
9651,49,2020,3,5,19,0.0,1.0,0.0,True,0,2,0,10,image
28228,32,2020,9,21,11,2.0,2.0,0.0,True,0,3,0,9,image
33381,18,2020,9,30,9,4.0,1.0,1.0,False,0,1,0,11,none
10039,49,2018,12,30,21,0.0,1.0,0.0,False,3,2,0,10,none
40980,12,2019,11,23,16,1.0,0.0,0.0,False,0,3,0,9,none
